id,name,photo,org_name,state,cost_of_living,start_term,base_comp,revenues_2014,days_employed_2014,tuition_fees_201415,enrollment
0,Joseph A. Alutto,204796_14571.jpg,Ohio State University,Ohio,0.896,201307,634572,2854674173,184,10037,58322
1,Elson S. Floyd,floyd_3875.jpg,Washington State University,Washington,1.032,200705,725000,921662039,2437,12428,28686
2,Paula Allen-Meares,allen-meares_1158.jpg,University of Illinois at Chicago,Illinois,1.01,200901,422458,1877887288,1826,13634,27969
3,Renu Khator,khator_3639.jpg,University of Houston,Texas,0.967,200801,700000,948745952,2192,8605,40914
4,Robert L. Barchi,barchi_22204.jpg,Rutgers University at New Brunswick,New Jersey,1.145,201209,649624,2284387000,487,13813,48378
5,Judy L. Genshaft,genshaft_845.jpg,University of South Florida,Florida,0.988,200007,470000,1038090336,4932,6410,41938
6,Mary Sue Coleman,coleman_14784.jpg,University of Michigan at Ann Arbor,Michigan,0.942,200208,603357,4500602000,4171,13486,43625
7,Eli Capilouto,capilouto_1430.jpg,University of Kentucky,Kentucky,0.891,201107,535500,1497398855,915,10616,29203
8,Judy Bonner,bonner_63.jpg,University of Alabama at Tuscaloosa,Alabama,0.877,201211,565000,876199740,426,9826,36047
9,Michael A. McRobbie,mcrobbie_1201.jpg,Indiana University at Bloomington,Indiana,0.914,200707,555745,1263487296,2376,10388,46416
10,Samuel L. Stanley Jr.,stanley_2547.jpg,Stony Brook University,New York,1.153,200907,650000,950415222,1645,8430,24607
11,Satish K. Tripathi,tripathi_2544.jpg,University at Buffalo,New York,1.153,201104,650000,936243254,1006,8870,29995
12,Lou Anna K. Simon,simon_1811.jpg,Michigan State University,Michigan,0.942,200501,520000,2154480616,3287,13200,50081
13,John C. Hitt,hitt_842.jpg,University of Central Florida,Florida,0.988,199203,491000,845429710,7976,6368,60767
14,Lester A. Lefton,lefton_2831.jpg,Kent State University at Kent (Ohio),Ohio,0.896,200607,426156,525388883,2741,10012,29477
15,Santa J. Ono,ono_22226.jpg,University of Cincinnati,Ohio,0.896,201210,525000,1017133849,457,11000,35313
16,James R. Ramsey,ramsey_1446.jpg,University of Louisville,Kentucky,0.891,200211,624000,589741000,4079,10432,21561
17,Michael K. Young,young_3682.jpg,University of Washington,Washington,1.032,201107,622008,3346490090,915,12394,44784
18,Angel Cabrera,caberera_22177.jpg,George Mason University,Virginia,1.03,201207,536049,642906015,549,10382,33729
19,Eric W. Kaler,kaler_1910.jpg,University of Minnesota-Twin Cities,Minnesota,0.976,201107,610000,2868600997,915,13560,51147
20,Michael M. Crow,crow_93.jpg,Arizona State University,Arizona,0.971,200207,566200,1184234350,4202,10157,50320
21,F. King Alexander,alexander_22187.jpg,Louisiana State University at Baton Rouge,Louisiana,0.912,201306,600000,889871947,214,8750,31044
22,Ronald M. Berkman,berkman_2798.jpg,Cleveland State University,Ohio,0.896,200907,430000,311295541,1645,9686,16936
23,David C. Hodge,hodge_2853.jpg,Miami University (Ohio),Ohio,0.896,200607,409209,485092056,2741,14287,18620
24,Joel S. Bloom,bloom_22193.jpg,New Jersey Institute of Technology,New Jersey,1.145,201201,495000,400008000,731,15648,10646
25,Mark B. Rosenberg,rosenberg_840.jpg,Florida International University,Florida,0.988,200908,502578,813566360,1614,6497,49610
26,Susan Herbst,herbst_697.jpg,University of Connecticut,Connecticut,1.085,201105,525000,1506774204,976,12700,26541
27,Robert A. Altenkirch,altenkirch_22221.jpg,University of Alabama at Huntsville,Alabama,0.877,201109,472000,208801549,853,9158,7348
28,J. Bernard Machen,machen_843.jpg,University of Florida,Florida,0.988,200312,564553,2463049000,3684,6313,49459
29,Michael Rao,rao_3777.jpg,Virginia Commonwealth University,Virginia,1.03,200907,503155,865200606,1645,12398,30848
30,Ray Watts,watts_22220.jpg,University of Alabama at Birmingham,Alabama,0.877,201302,447550,1120886254,334,7510,18698
31,Michael R. Gottfredson,gottfredson_22230.jpg,University of Oregon,Oregon,0.987,201208,444004,779478595,518,9918,24096
32,LLoyd A. Jacobs,jacobs_2921.jpg,University of Toledo,Ohio,0.896,200311,392700,503889806,3714,9463,20626
33,David E. Daniel,daniel_3652.jpg,University of Texas at Dallas,Texas,0.967,200506,518279,688865593,3136,10864,23095
34,Harris Pastides,pastides_3344.jpg,University of South Carolina at Columbia,South Carolina,0.905,200808,531200,838487410,1979,11158,32971
35,Mark P. Becker,becker_913.jpg,Georgia State University,Georgia,0.919,200901,530600,591247060,1826,8618,32556
36,Phyllis M. Wise,wise_3869.jpg,University of Illinois at Urbana-Champaign,Illinois,1.01,201110,530501,2366647420,823,15020,45140
37,Wallace D. Loh,loh_1612.jpg,University of Maryland at College Park,Maryland,1.109,201011,526590,1464916824,1157,9427,37610
38,W. Randolph Woodson,woodson_2731.jpg,North Carolina State University,North Carolina,0.917,201004,520000,1250491664,1371,8296,33989
39,Carol L. Folt,199120_10926.jpg,University of North Carolina at Chapel Hill,North Carolina,0.917,201307,520000,2284958065,184,8336,29135
40,David R. Hopkins,hopkins_2932.jpg,Wright State University,Ohio,0.896,200702,416000,364482034,2526,8730,16842
41,Sally K. Mason,mason_1291.jpg,University of Iowa,Iowa,0.903,200708,513003,1440269000,2345,8079,29970
42,Harvey Stenger,stenger_2543.jpg,Binghamton University,New York,1.153,201201,510000,371584084,731,8620,16695
43,Rebecca M. Blank,240444_17375.jpg,University of Wisconsin at Madison,Wisconsin,0.929,201307,499950,2435418415,184,10410,42598
44,Jo Ann M. Gora,gora_1172.jpg,Ball State University,Indiana,0.914,200408,446338,403074003,3440,9344,20655
45,Robert J. Jones,jones_22207.jpg,University at Albany,New York,1.153,201301,495000,754129529,365,8302,17273
46,Teresa A. Sullivan,sullivan_8561.jpg,University of Virginia,Virginia,1.03,201008,494700,2021796812,1249,13208,23732
47,Roderick J. McDavis,mcdavis_2881.jpg,Ohio University,Ohio,0.896,200407,431270,587613078,3471,10602,29217
48,Bernadette Gray-Little,gray-little_1374.jpg,University of Kansas,Kansas,0.908,200908,492650,1022564129,1614,10448,27180
49,Jay Gogue,gogue_6.jpg,Auburn University,Alabama,0.877,200707,487947,805999207,2376,10200,25912
50,W. Taylor Reveley III,reveley_22173.jpg,College of William & Mary,Virginia,1.03,200809,425000,328125866,1948,17656,8437
51,Nicholas B. Dirks,dirks_22223.jpg,University of California at Berkeley,California,1.123,201306,486800,2520293000,214,12972,37565
52,Edward J. Ray,ray_3008.jpg,Oregon State University,Oregon,0.987,200306,485088,799429184,3867,9122,28886
53,Vistasp Karbhari,karbhari_22219.jpg,University of Texas at Arlington,Texas,0.967,201306,484992,544483498,214,8878,39740
54,Mark W. Huddleston,huddleston_2198.jpg,University of New Hampshire,New Hampshire,1.059,200706,385000,469410608,2406,16552,15117
55,Mitchell E. Daniels Jr.,daniels_22202.jpg,Purdue University at West Lafayette,Indiana,0.914,201301,420000,1778337652,365,10002,39752
56,Ann Weaver Hart,104179_10315.jpg,University of Arizona,Arizona,0.971,201207,475000,1641141000,549,10957,42236
57,M. Roy Wilson,wilson_22241.jpg,Wayne State University,Michigan,0.942,201308,472251,775678881,153,11449,27578
58,Anthony A. Frank,frank_602.jpg,Colorado State University at Fort Collins,Colorado,1.022,200906,450000,803099966,1675,9897,31354
59,Steven Leath,leath_1290.jpg,Iowa State University,Iowa,0.903,201201,466752,981393670,731,7731,34435
60,Kirk H. Schulz,schulz_1356.jpg,Kansas State University,Kansas,0.908,200905,460050,776237060,1706,9034,24766
61,E. Thomas Sullivan,sullivan_22235.jpg,University of Vermont,Vermont,1.002,201207,429093,596401000,549,16226,12856
62,Jere W. Morehead,139959_13966.jpg,University of Georgia,Georgia,0.919,201307,450000,1176356059,184,10836,35197
63,Douglas D. Baker,147703_12194.jpg,Northern Illinois University,Illinois,1.01,201307,450000,492471584,184,13505,20611
64,Mary Ellen Mazey,mazey_2778.jpg,Bowling Green State University Main Campus,Ohio,0.896,201107,394000,289058447,915,10726,16554
65,Kumble R. Subbaswamy,subbaswamy_22229.jpg,University of Massachusetts at Amherst,Massachusetts,1.073,201207,406311,921326000,549,13443,28635
66,G.P. (Bud) Peterson,peterson_907.jpg,Georgia Institute of Technology,Georgia,0.919,200904,440000,1313899695,1736,11394,23109
67,David W. Pershing,pershing_3682.jpg,University of Utah,Utah,0.972,201203,358850,1466892000,671,7835,31515
68,Thomas M. Apple,apple_971.jpg,University of Hawaii-Manoa,Hawaii,1.162,201206,439008,840547917,579,10620,19507
69,Freeman A. Hrabowski III,hrabowski_1614.jpg,University of Maryland-Baltimore County,Maryland,1.109,199205,438025,356593272,7915,10384,13979
70,David L. Boren,boren_2976.jpg,University of Oklahoma at Norman,Oklahoma,0.899,199411,434905,742000000,7001,9495,27261
71,Jimmy G. Cheek,cheek_3463.jpg,University of Tennessee at Knoxville,Tennessee,0.906,200902,434452,1555569623,1795,11876,30386
72,Harvey S. Perlman,perlman_2158.jpg,University of Nebraska at Lincoln,Nebraska,0.905,200104,349579,841624612,4658,8170,25006
73,Daniel W. Jones,jones_1981.jpg,University of Mississippi,Mississippi,0.868,200907,429000,796113900,1645,7096,22503
74,Mark E. Keenum,keenum_1970.jpg,Mississippi State University,Mississippi,0.868,200901,429000,610231677,1826,7140,20138
75,M. Duane Nellis,nellis_994.jpg,Texas Tech University,Texas,0.967,201306,427000,722182195,214,7811,35158
76,Gene D. Block,block_547.jpg,University of California at Los Angeles,California,1.123,200708,416000,3870592000,2345,12705,41845
77,Pradeep K. Khosla,khosla_22225.jpg,University of California at San Diego,California,1.123,201208,411084,2366192000,518,13427,30709
78,John M. Rudley,rudley_22215.jpg,Texas Southern University,Texas,0.967,200803,406640,191731514,2132,8126,9233
79,Philip DiStefano,distefano_649.jpg,University of Colorado at Boulder,Colorado,1.022,200905,406505,1073907347,1706,10789,32432
